Flow_Duration,Protocol,Src_IP,Dst_IP,Total_Fwd_Packets,Total_Backward_Packets,Label
16639,TCP,10.161.98.22,192.168.181.194,7,8,Normal
8905,UDP,192.168.206.179,172.24.72.81,1,7,Normal
27809,UDP,192.168.128.54,172.23.251.215,8,5,Normal
69780,TCP,192.168.43.29,172.22.43.71,52,34,Attack
16679,TCP,36.233.246.88,172.23.200.83,17,16,Normal
19943,TCP,192.168.103.164,192.168.38.186,13,7,Normal
12945,TCP,96.128.41.194,10.51.144.241,15,7,Normal
16265,TCP,172.25.211.100,172.25.122.253,8,8,Normal
21278,TCP,172.20.107.242,172.29.166.143,17,13,Normal
14394,TCP,192.168.105.234,10.228.191.44,16,10,Normal
14658,UDP,10.102.58.141,172.27.93.237,9,7,Normal
18924,TCP,192.168.20.5,172.29.50.144,8,12,Normal
14194,TCP,117.19.144.212,10.231.4.155,11,8,Normal
7601,UDP,192.168.228.197,10.244.23.101,6,4,Normal
9409,ICMP,172.22.66.18,172.17.31.128,2,1,Normal
19234,TCP,10.255.188.108,10.142.234.130,15,16,Normal
47666,TCP,132.124.226.138,172.18.132.176,14,10,Normal
55296,TCP,172.31.192.30,172.25.253.30,7,59,Attack
8425,TCP,10.153.254.81,192.168.147.41,8,7,Normal
11873,ICMP,10.170.166.139,192.168.195.125,4,0,Normal
31164,TCP,172.27.246.129,192.168.64.5,13,8,Normal
19341,TCP,192.168.143.234,88.93.87.174,10,10,Normal
16679,TCP,172.25.123.125,192.168.70.199,6,9,Normal
14606,TCP,10.109.168.7,10.97.22.232,16,9,Normal
27762,UDP,192.168.86.200,221.125.18.40,19,6,Normal
9989,TCP,81.129.144.3,1.200.224.183,6,7,Normal
16045,TCP,10.136.38.113,192.168.192.164,2,14,Normal
24921,UDP,192.168.147.240,10.33.37.50,13,8,Normal
22317,UDP,192.168.205.207,10.206.38.28,5,3,Normal
22790,TCP,81.33.23.90,10.138.84.153,15,7,Normal
15573,TCP,10.21.136.159,192.168.56.140,7,6,Normal
12464,TCP,192.168.191.104,205.186.116.79,20,8,Normal
13766,TCP,172.25.71.194,10.5.118.242,15,12,Normal
14607,TCP,192.168.151.84,10.222.87.253,7,10,Normal
24801,TCP,10.50.177.179,192.168.8.226,7,15,Normal
12889,UDP,112.89.11.203,192.168.209.86,5,6,Normal
14949,UDP,10.91.180.79,192.168.167.69,6,3,Normal
26840,UDP,246.102.165.84,192.168.52.164,11,4,Normal
14516,ICMP,172.16.230.101,172.66.53.172,1,2,Normal
26126,UDP,10.57.110.230,57.23.19.129,14,15,Attack
34977,UDP,192.168.29.148,172.19.136.216,10,6,Normal
21701,UDP,10.143.222.33,192.168.6.169,10,2,Normal
24792,TCP,43.24.113.65,172.20.145.4,17,8,Normal
14033,TCP,192.168.166.36,179.114.9.172,5,0,Normal
30789,TCP,192.168.40.97,192.168.12.113,10,6,Normal
40908,TCP,192.168.11.11,121.131.57.86,8,11,Normal
22725,TCP,192.168.254.178,192.168.17.217,20,6,Normal
26078,TCP,10.253.113.43,10.107.227.96,12,7,Normal
12988,TCP,172.22.71.126,10.133.25.7,7,5,Normal
23066,TCP,69.18.85.115,172.27.16.97,19,10,Normal
24842,TCP,192.168.1.36,192.168.188.147,11,7,Normal
3783,UDP,173.185.108.88,192.168.196.253,8,4,Normal
21770,UDP,10.160.227.208,10.103.158.89,14,6,Normal
10116,TCP,10.18.176.78,192.168.90.15,12,10,Normal
7794,TCP,10.128.18.16,172.24.233.254,18,9,Normal
26708,TCP,172.20.175.47,192.168.137.74,9,10,Normal
3684,UDP,172.23.237.166,192.168.172.212,10,8,Normal
9381,UDP,172.22.50.88,172.29.159.162,8,6,Normal
25452,TCP,10.221.151.83,10.46.29.153,16,0,Normal
17277,UDP,192.168.37.103,187.228.31.189,8,4,Normal
19106,TCP,192.168.106.173,10.142.112.105,12,11,Normal
13612,TCP,10.155.222.224,192.168.16.165,17,4,Normal
13503,ICMP,10.178.169.197,10.133.203.196,2,1,Normal
11306,TCP,10.78.15.97,192.168.63.139,9,4,Normal
56075,TCP,192.168.116.99,192.168.119.82,22,13,Normal
31089,TCP,192.168.187.251,10.54.168.79,8,10,Normal
28959,TCP,192.168.161.168,192.168.56.139,33,31,Attack
22621,UDP,10.97.197.71,192.168.199.204,5,2,Normal
17429,ICMP,192.168.18.81,192.168.7.32,6,9,Attack
26681,TCP,172.22.66.219,172.27.98.69,4,14,Normal
29180,TCP,10.51.0.95,172.22.124.9,14,8,Normal
10716,UDP,113.170.83.33,25.192.69.129,10,6,Normal
14879,TCP,255.109.83.204,192.168.68.119,1,8,Normal
11461,UDP,10.169.243.41,172.23.246.83,6,9,Normal
17463,TCP,172.29.240.192,10.252.155.225,10,9,Normal
15981,TCP,10.45.43.30,192.168.145.126,6,9,Normal
21970,UDP,10.204.253.120,172.16.229.243,4,8,Normal
15813,TCP,45.63.4.120,192.168.205.255,9,5,Normal
34257,TCP,172.22.172.110,192.168.75.43,17,4,Normal
20532,TCP,192.48.39.0,192.168.240.196,13,4,Normal
21123,TCP,172.22.38.157,192.168.147.22,13,14,Normal
14853,TCP,192.168.219.122,172.17.142.39,8,5,Normal
27495,TCP,192.168.99.92,10.28.192.154,21,29,Attack
5990,ICMP,10.104.172.46,10.101.165.74,5,3,Normal
6430,ICMP,192.168.50.112,56.57.179.97,4,0,Normal
24150,TCP,172.16.149.219,10.31.196.245,17,13,Normal
21687,TCP,41.245.34.32,172.19.53.130,13,7,Normal
18295,UDP,192.168.164.63,10.130.15.208,11,4,Normal
9741,ICMP,192.168.75.155,10.251.51.223,3,1,Normal
12053,TCP,192.168.133.61,10.17.151.125,7,8,Normal
12928,TCP,30.182.46.237,172.24.136.208,21,5,Normal
17451,TCP,10.160.230.21,10.164.221.51,16,13,Normal
17262,TCP,192.168.184.32,100.110.231.201,11,7,Normal
10665,TCP,172.17.76.49,172.16.220.176,6,15,Normal
6926,TCP,192.168.254.117,119.61.229.226,6,0,Normal
18687,UDP,10.156.206.164,10.197.42.2,8,2,Normal
27735,UDP,192.168.215.147,192.168.39.146,19,6,Attack
7524,UDP,10.142.16.213,172.31.29.239,6,6,Normal
24698,TCP,234.198.130.162,10.231.190.116,13,15,Normal
18595,TCP,10.10.233.230,192.168.144.2,12,10,Normal
46962,UDP,192.168.140.36,147.210.204.114,18,20,Attack
7911,UDP,172.17.182.164,117.10.111.12,4,4,Normal
35994,TCP,207.61.114.190,10.209.133.178,11,6,Normal
21439,UDP,172.25.250.98,192.168.215.191,12,6,Normal
7659,TCP,10.3.50.35,192.168.71.78,6,11,Normal
14184,UDP,10.37.190.133,192.168.51.37,12,4,Normal
8354,TCP,172.26.118.249,172.24.251.12,18,11,Normal
30622,TCP,172.17.94.194,192.168.188.229,12,14,Normal
7897,TCP,172.19.251.255,172.30.73.177,12,11,Normal
6038,TCP,172.18.86.138,192.168.95.148,12,2,Normal
59655,TCP,172.24.150.239,192.168.198.251,46,33,Attack
17105,TCP,172.29.164.247,172.25.243.86,10,0,Normal
20981,TCP,172.26.13.40,172.29.109.152,14,6,Normal
27970,UDP,69.110.6.151,31.69.59.133,4,3,Normal
28450,TCP,172.16.151.34,172.21.149.158,2,11,Normal
52398,TCP,172.23.190.168,192.168.26.240,23,7,Normal
31869,UDP,10.182.241.151,172.17.168.68,10,5,Normal
29650,TCP,192.168.15.250,172.31.92.191,13,9,Normal
20333,TCP,172.184.44.17,192.168.210.19,15,5,Normal
22593,UDP,10.17.248.174,172.25.233.103,20,21,Attack
19578,UDP,172.21.125.219,226.149.41.16,10,6,Normal
10850,TCP,208.243.75.37,10.218.155.33,12,8,Normal
11158,UDP,192.168.86.215,230.57.28.253,6,2,Normal
25784,TCP,172.16.247.196,10.219.81.124,14,15,Normal
17368,TCP,192.168.129.143,10.66.4.208,13,10,Normal
8267,UDP,10.184.200.186,172.23.58.111,9,0,Normal
12708,TCP,130.130.188.247,172.16.122.203,9,9,Normal
28244,UDP,10.128.13.153,192.168.217.100,2,6,Normal
6686,TCP,154.176.12.131,100.115.151.57,3,12,Normal
13528,UDP,10.80.28.114,192.168.104.153,8,5,Normal
15808,TCP,234.212.140.122,192.168.203.173,15,10,Normal
33270,TCP,192.168.62.248,172.28.245.178,47,33,Attack
19264,TCP,28.63.170.97,10.135.2.209,26,48,Attack
25979,TCP,192.168.141.236,114.238.118.43,17,11,Normal
15976,UDP,10.214.83.249,192.168.19.163,8,7,Normal
53297,TCP,210.148.91.70,192.168.55.46,60,52,Attack
26652,TCP,10.133.213.208,129.25.185.235,9,14,Normal
6182,TCP,172.24.115.180,172.24.208.159,11,3,Normal
59061,TCP,172.17.93.225,172.24.110.133,53,47,Attack
22482,UDP,192.168.194.160,10.141.219.242,11,5,Normal
35447,TCP,10.13.99.221,10.160.117.215,13,12,Normal
6017,ICMP,196.42.124.156,192.168.46.71,3,3,Normal
23571,TCP,192.168.201.162,172.31.19.11,16,7,Normal
20441,TCP,10.175.141.89,172.23.211.176,12,7,Normal
33765,TCP,172.26.13.148,172.23.204.88,12,2,Normal
10264,TCP,172.22.50.250,172.26.35.154,21,6,Normal
15388,UDP,192.168.46.204,172.30.23.39,6,6,Normal
12626,ICMP,172.21.50.182,100.240.178.45,1,1,Normal
9944,UDP,10.186.171.36,172.23.49.43,8,9,Normal
16402,TCP,192.168.235.225,10.139.19.95,12,8,Normal
14610,TCP,10.90.98.189,75.115.99.130,6,18,Normal
18730,TCP,192.168.87.28,10.249.114.121,12,10,Normal
14999,TCP,192.168.112.7,172.21.88.161,5,12,Normal
16494,UDP,172.29.5.55,192.168.252.101,6,9,Normal
18913,TCP,10.89.81.98,10.31.2.199,14,10,Normal
5436,TCP,145.87.85.120,192.168.166.250,5,9,Normal
12376,UDP,10.37.5.168,81.38.11.49,7,6,Normal
33461,UDP,10.37.226.230,192.168.65.221,1,3,Normal
16216,TCP,197.82.113.142,10.181.224.107,9,12,Normal
11589,TCP,172.27.24.151,98.114.204.148,2,15,Normal
11990,TCP,172.19.137.211,125.148.27.78,17,6,Normal
15568,TCP,10.167.201.175,192.168.101.41,23,10,Normal
57625,TCP,172.31.255.198,172.16.207.1,11,12,Normal
10856,TCP,172.19.60.164,10.186.122.14,14,10,Normal
9161,UDP,172.18.120.144,10.44.209.251,4,4,Normal
11844,UDP,192.168.224.230,10.57.144.16,9,8,Normal
22520,TCP,192.168.171.32,10.87.86.88,18,8,Normal
6180,TCP,192.168.81.213,201.77.102.94,12,7,Normal
61038,TCP,238.206.178.175,172.31.15.70,17,8,Normal
20961,TCP,172.21.192.15,10.115.211.41,9,10,Normal
6194,TCP,192.168.80.39,192.168.24.142,3,12,Normal
53182,TCP,10.141.201.204,192.168.85.101,10,21,Normal
18904,TCP,192.168.42.179,172.29.180.55,9,8,Normal
64819,TCP,192.168.10.7,52.149.225.169,56,39,Attack
11250,TCP,119.191.110.192,172.23.120.94,16,8,Normal
11675,TCP,172.22.161.108,10.163.107.87,6,20,Normal
19052,UDP,192.168.92.204,192.168.105.14,24,16,Attack
7948,TCP,192.168.46.61,3.65.244.4,15,4,Normal
14939,TCP,192.168.36.211,65.241.5.181,9,5,Normal
9077,UDP,192.168.143.163,10.237.97.2,8,2,Normal
14041,TCP,10.163.193.76,10.126.174.163,15,14,Normal
34251,TCP,10.77.33.94,192.168.212.82,17,11,Normal
50603,UDP,10.125.76.182,98.8.152.1,21,12,Attack
26916,TCP,192.168.131.229,172.22.222.247,14,9,Normal
18489,TCP,10.158.205.238,172.22.211.149,3,7,Normal
17193,TCP,192.168.242.33,10.71.51.50,15,5,Normal
15066,TCP,172.30.20.122,192.168.107.193,6,9,Normal
31939,TCP,137.13.69.9,172.22.173.186,5,38,Attack
25569,TCP,172.23.41.101,10.18.28.196,15,13,Normal
22903,TCP,39.230.226.187,10.22.145.120,13,6,Normal
10273,TCP,192.168.223.196,196.160.82.222,6,12,Normal
15813,TCP,10.118.52.61,172.29.6.62,15,5,Normal
8662,TCP,172.19.112.205,10.77.35.18,5,9,Normal
18060,TCP,172.31.4.6,10.253.70.76,12,13,Normal
23586,UDP,192.168.235.235,172.26.9.251,10,5,Normal
21586,TCP,54.42.31.108,192.168.52.125,16,8,Normal
23690,TCP,10.1.138.63,10.8.59.56,10,13,Normal
18579,TCP,10.154.244.29,172.18.85.217,16,13,Normal
24735,TCP,253.82.170.170,192.168.222.157,11,10,Normal
14109,TCP,200.125.252.217,109.59.176.32,7,13,Normal
9510,TCP,10.128.180.104,10.118.164.176,9,2,Normal
24309,TCP,60.29.226.175,172.16.253.185,9,6,Normal
3894,UDP,192.168.39.106,172.24.195.186,1,4,Normal
12260,UDP,172.18.233.66,172.31.194.126,10,6,Normal
31665,TCP,10.19.214.102,58.48.19.240,13,15,Normal
13679,TCP,77.48.56.37,45.140.64.166,9,5,Normal
21455,TCP,192.168.15.203,172.18.239.202,14,11,Normal
9229,TCP,192.168.8.197,172.29.219.48,5,9,Normal
12244,TCP,192.168.80.72,192.168.9.176,14,11,Normal
22533,UDP,172.21.218.165,192.168.115.144,10,4,Normal
29029,UDP,10.188.0.220,192.168.193.8,3,3,Normal
23809,UDP,192.168.151.141,192.168.100.193,10,8,Normal
16493,TCP,172.20.236.42,172.16.132.189,11,16,Normal
24861,ICMP,192.168.125.187,192.168.77.140,2,1,Normal
29503,TCP,10.1.17.117,172.30.196.118,5,9,Normal
28706,TCP,10.229.119.206,10.41.182.139,17,15,Normal
13114,TCP,10.164.237.51,10.16.3.185,17,11,Normal
13589,UDP,192.168.84.212,99.143.207.86,13,3,Normal
45376,TCP,172.27.51.86,10.117.228.221,58,33,Attack
11153,UDP,192.168.137.220,172.29.230.219,8,2,Normal
25644,TCP,172.31.67.231,172.23.195.91,13,14,Normal
10507,ICMP,172.28.255.230,10.204.54.224,1,2,Normal
8405,TCP,192.168.186.141,192.168.152.19,1,4,Normal
17305,TCP,234.64.177.27,172.21.160.45,11,16,Normal
4890,ICMP,192.168.247.70,10.141.3.66,2,2,Normal
12352,TCP,225.100.180.193,192.168.254.55,7,9,Normal
36449,TCP,10.146.223.146,192.168.161.34,11,16,Normal
15292,TCP,10.106.246.97,192.168.64.213,8,7,Normal
18289,TCP,10.29.48.170,130.180.142.140,17,9,Normal
8317,TCP,10.197.78.8,192.168.41.163,12,11,Normal
9145,TCP,10.57.136.231,192.168.28.86,8,1,Normal
16862,TCP,227.168.89.203,192.168.252.47,17,10,Normal
13363,UDP,10.66.152.155,192.168.122.43,3,7,Normal
40467,TCP,25.164.240.35,10.101.88.13,21,14,Normal
45839,TCP,28.247.244.228,192.168.153.215,21,5,Normal
9829,TCP,10.129.1.220,172.26.20.13,13,11,Normal
21702,TCP,192.168.4.169,172.31.113.0,11,8,Normal
12399,TCP,192.168.105.241,191.170.65.52,1,16,Normal
20393,UDP,83.44.231.42,192.168.242.188,7,20,Attack
34774,UDP,172.28.203.181,172.19.163.184,20,14,Attack
26227,TCP,10.210.87.153,172.22.247.242,11,10,Normal
49348,TCP,10.122.19.20,172.19.53.34,15,13,Normal
11332,TCP,155.17.15.124,10.175.52.122,11,5,Normal
45634,TCP,172.20.117.88,192.168.161.23,6,14,Normal
11085,TCP,128.108.83.51,172.31.201.37,10,5,Normal
46369,TCP,192.168.182.96,10.232.93.64,28,28,Attack
11078,TCP,135.48.140.235,99.96.156.220,5,9,Normal
14436,TCP,192.168.102.213,192.168.234.206,18,9,Normal
14492,TCP,172.18.32.156,172.29.166.4,3,13,Normal
23597,TCP,195.205.229.192,10.50.46.33,17,14,Normal
9736,TCP,172.29.231.142,10.209.97.26,12,19,Normal
41028,TCP,20.67.36.3,192.168.216.207,15,21,Normal
22289,UDP,172.20.155.209,192.168.59.121,12,8,Normal
12480,TCP,10.63.74.193,192.168.52.70,9,6,Normal
13900,TCP,10.187.169.135,192.168.242.178,12,9,Normal
63974,TCP,192.168.55.82,192.168.111.85,31,28,Attack
31458,UDP,172.25.140.187,10.182.128.35,7,4,Normal
17205,TCP,172.26.116.177,188.221.224.101,15,6,Normal
11495,UDP,192.168.247.78,192.168.186.77,7,3,Normal
19161,UDP,172.29.195.28,192.168.249.176,8,6,Normal
14449,TCP,192.168.21.140,172.30.155.73,7,10,Normal
13468,TCP,183.3.214.253,192.168.94.5,11,8,Normal
26248,TCP,172.29.138.206,172.26.223.38,9,11,Normal
24917,UDP,10.222.73.125,175.191.173.46,8,8,Normal
15487,TCP,192.168.126.7,172.30.196.70,7,9,Normal
25793,UDP,10.159.218.195,225.190.55.140,6,6,Normal
15097,TCP,124.207.148.250,10.255.205.238,13,5,Normal
24068,TCP,10.235.71.188,172.30.92.255,14,18,Normal
15835,TCP,172.22.64.199,192.168.225.158,12,6,Normal
29438,TCP,172.19.125.47,192.168.32.72,35,26,Attack
30379,TCP,172.17.73.39,192.168.156.163,8,12,Normal
6683,TCP,172.30.44.158,172.23.177.77,3,11,Normal
29845,UDP,172.16.190.211,192.168.210.33,12,8,Normal
47949,UDP,192.168.129.181,148.106.34.87,11,4,Normal
44177,TCP,63.82.205.218,10.70.67.80,18,11,Normal
15555,TCP,192.168.236.214,192.168.144.250,18,14,Normal
38832,TCP,10.36.254.25,172.21.106.179,45,27,Attack
33132,UDP,192.168.123.204,192.168.114.63,15,1,Normal
7413,TCP,192.168.39.213,10.134.162.185,11,4,Normal
29917,UDP,10.58.166.203,10.150.128.240,8,6,Normal
5345,TCP,10.225.9.15,172.30.105.44,8,7,Normal
9015,TCP,141.44.28.10,10.213.5.142,5,11,Normal
34454,TCP,10.170.132.137,10.94.224.129,9,11,Normal
20071,TCP,10.182.184.133,192.168.45.77,9,10,Normal
14991,UDP,192.168.167.233,4.58.206.252,10,7,Normal
29402,TCP,192.168.46.42,172.26.176.205,13,9,Normal
13390,TCP,10.96.26.248,172.18.79.69,14,7,Normal
10333,ICMP,192.168.79.19,10.73.234.246,2,2,Normal
5081,ICMP,60.15.193.94,192.168.154.255,4,1,Normal
7061,UDP,10.52.46.253,10.109.37.33,5,6,Normal
34450,TCP,192.168.48.112,172.18.156.0,17,13,Normal
16644,TCP,10.7.28.23,165.210.101.60,12,14,Normal
10187,UDP,10.84.104.91,172.19.41.169,2,8,Normal
12912,TCP,172.23.36.169,192.168.109.85,10,12,Normal
36481,TCP,192.168.103.90,192.168.104.237,16,10,Normal
11322,UDP,10.93.204.98,125.219.207.26,8,5,Normal
39688,TCP,172.31.142.50,41.229.122.184,67,34,Attack
15732,TCP,172.23.127.227,172.209.161.91,13,16,Normal
8176,ICMP,192.168.236.185,131.83.33.146,2,1,Normal
20362,TCP,10.178.127.171,10.91.83.54,16,17,Normal
12647,TCP,172.24.28.34,10.29.218.149,12,11,Normal
34668,TCP,10.227.124.188,192.168.212.120,14,45,Attack
10403,TCP,191.3.37.206,192.168.97.204,6,7,Normal
11529,TCP,172.19.32.184,192.168.250.17,12,7,Normal
1998,UDP,192.168.90.18,172.21.73.44,1,3,Normal
15244,UDP,252.188.128.236,172.31.79.166,8,9,Normal
67925,TCP,172.27.111.118,10.33.49.255,18,11,Normal
21121,TCP,192.168.27.109,10.128.27.137,12,13,Normal
16653,UDP,10.111.156.86,10.221.80.211,12,6,Normal
21641,TCP,172.18.121.251,172.16.21.118,12,10,Normal
20652,TCP,192.168.17.191,171.23.224.250,16,4,Normal
15279,TCP,172.19.234.75,10.130.140.115,12,11,Normal
34602,TCP,10.76.86.55,172.30.1.132,2,13,Normal
32686,TCP,192.168.22.227,172.26.251.134,17,2,Normal
16705,TCP,10.107.86.66,47.103.212.193,10,8,Normal
8127,TCP,172.28.193.119,172.22.162.191,7,6,Normal
27319,TCP,192.168.231.112,10.214.68.197,9,12,Normal
19191,TCP,192.168.205.11,172.18.10.227,17,12,Normal
16824,TCP,172.28.4.138,105.172.142.9,7,13,Normal
32708,TCP,191.78.43.132,46.240.170.104,14,0,Normal
28703,TCP,172.26.95.91,10.210.200.123,17,10,Normal
15277,TCP,10.188.226.77,10.246.175.218,12,3,Normal
23023,TCP,37.224.132.254,10.15.2.45,19,11,Normal
11701,TCP,192.168.1.174,10.45.175.37,15,4,Normal
17818,TCP,10.147.71.76,192.168.152.58,14,12,Normal
15704,UDP,161.137.221.39,10.51.177.235,7,2,Normal
13378,TCP,10.217.23.226,192.168.108.1,11,6,Normal
12127,UDP,192.168.50.9,10.186.135.173,5,8,Normal
5866,ICMP,192.168.179.228,192.168.103.134,3,1,Normal
14853,TCP,192.168.203.87,192.168.86.246,6,9,Normal
40340,TCP,192.168.122.19,10.148.131.3,11,6,Normal
16414,UDP,172.31.189.210,172.27.117.231,11,8,Normal
14217,TCP,192.168.199.45,10.15.84.8,8,11,Normal
4630,TCP,10.149.130.10,10.112.59.66,3,11,Normal
9650,TCP,186.235.37.191,192.168.177.49,15,5,Normal
10201,TCP,172.28.122.125,216.202.177.171,12,10,Normal
4410,TCP,10.36.64.241,172.29.238.60,25,20,Normal
8295,ICMP,192.168.166.21,192.168.116.82,3,1,Normal
11445,ICMP,186.140.201.146,10.33.122.1,3,3,Normal
4173,TCP,10.24.234.86,172.28.12.25,3,1,Normal
26731,UDP,192.168.2.113,172.31.230.4,4,7,Normal
21347,TCP,192.168.134.144,192.168.110.51,15,11,Normal
16014,UDP,172.25.28.110,192.168.229.46,11,5,Normal
16742,TCP,172.21.46.49,157.238.204.173,10,11,Normal
22670,UDP,172.22.165.14,172.24.163.199,33,17,Attack
5403,UDP,162.29.238.174,172.23.167.122,7,6,Normal
13775,TCP,10.12.171.205,79.32.99.221,18,8,Normal
12387,TCP,10.51.164.3,192.168.72.55,9,8,Normal
27092,UDP,10.90.103.121,54.48.216.238,10,4,Normal
15296,TCP,10.29.46.142,172.17.27.221,15,4,Normal
9495,TCP,10.43.168.144,74.20.192.103,10,9,Normal
25619,UDP,10.125.79.225,10.176.86.228,34,20,Attack
24226,TCP,192.168.52.63,192.168.229.109,10,7,Normal
6313,TCP,192.168.167.118,10.125.173.243,8,5,Normal
13260,TCP,172.17.232.49,192.168.22.173,19,6,Normal
63137,TCP,10.56.223.248,172.23.80.223,67,31,Attack
25907,ICMP,10.51.251.113,172.21.7.247,7,6,Attack
20859,TCP,106.167.90.161,192.168.97.43,17,6,Normal
21788,TCP,172.30.199.16,192.168.192.85,14,9,Normal
18726,TCP,10.155.98.38,10.98.80.159,13,9,Normal
9567,ICMP,10.46.137.61,172.27.99.194,2,2,Normal
29513,TCP,10.167.216.47,172.24.54.230,5,15,Normal
12785,UDP,172.25.42.62,192.168.148.231,8,4,Normal
35254,UDP,226.157.164.101,118.85.100.202,9,4,Normal
7401,UDP,10.246.59.121,10.30.30.173,8,6,Normal
26932,ICMP,10.31.60.83,10.89.252.34,4,2,Normal
9746,UDP,172.16.65.22,10.250.240.25,4,7,Normal
12046,UDP,10.191.21.16,43.231.56.96,10,2,Normal
8132,TCP,172.30.204.135,192.168.204.55,6,18,Normal
10202,UDP,147.62.93.47,72.166.7.86,6,5,Normal
11316,TCP,192.168.131.50,10.41.154.244,11,7,Normal
8045,TCP,58.104.210.123,144.188.135.238,3,5,Normal
6496,UDP,192.168.229.233,172.19.56.75,5,4,Normal
9171,ICMP,192.168.16.168,192.168.4.252,2,0,Normal
18311,UDP,172.19.250.168,10.187.32.85,6,8,Normal
74881,TCP,192.168.107.117,172.16.146.53,29,27,Attack
20553,TCP,97.211.148.69,10.225.183.75,18,7,Normal
67993,TCP,172.18.125.225,10.71.235.136,88,40,Attack
10292,TCP,10.64.251.21,172.29.197.161,12,9,Normal
12527,TCP,172.19.178.64,10.107.100.113,18,7,Normal
11006,TCP,172.24.54.40,124.23.179.46,9,16,Normal
23788,TCP,192.168.66.38,10.40.126.236,10,8,Normal
4131,UDP,192.168.187.171,172.25.180.59,5,1,Normal
20854,TCP,172.19.185.175,10.171.143.76,16,9,Normal
54327,UDP,10.24.89.154,10.11.113.177,11,5,Normal
15298,TCP,192.168.249.29,10.247.205.180,9,7,Normal
41563,TCP,192.168.31.249,192.168.135.144,15,6,Normal
54159,TCP,35.148.126.175,172.20.43.56,13,10,Normal
10833,TCP,172.30.229.160,10.0.241.93,6,8,Normal
13716,ICMP,166.38.101.221,10.151.175.221,3,1,Normal
16760,TCP,172.19.230.61,245.226.204.244,21,10,Normal
15617,TCP,10.2.222.187,10.86.9.145,11,8,Normal
10066,UDP,199.215.250.234,10.253.105.206,7,4,Normal
12393,ICMP,10.241.228.17,172.26.190.76,2,2,Normal
41012,TCP,192.168.183.15,192.168.211.211,64,24,Attack
20121,TCP,224.132.108.15,50.72.58.183,14,7,Normal
40300,TCP,10.160.150.252,172.26.249.120,12,4,Normal
34026,TCP,148.185.180.185,10.217.135.146,26,19,Attack
39842,TCP,192.168.217.209,10.178.42.185,11,5,Normal
9481,TCP,192.168.103.254,10.111.185.55,1,4,Normal
10940,UDP,10.233.86.189,89.223.3.254,7,4,Normal
10768,TCP,172.25.48.57,10.227.100.133,9,11,Normal
21290,TCP,172.30.219.132,172.17.88.17,8,9,Normal
16193,TCP,10.59.219.148,192.168.68.163,22,8,Normal
42198,UDP,172.22.26.175,172.17.39.106,18,17,Attack
18923,TCP,172.29.19.212,192.168.93.138,26,22,Attack
9671,UDP,192.168.109.141,10.4.147.161,7,6,Normal
12311,UDP,192.168.117.54,192.4.31.141,5,7,Normal
8382,TCP,10.27.132.105,172.25.137.217,19,2,Normal
42022,TCP,10.154.85.179,10.122.97.151,46,28,Attack
26210,TCP,172.24.205.88,10.14.32.12,10,11,Normal
16313,TCP,10.178.6.155,172.25.224.225,18,11,Normal
37482,UDP,10.120.17.235,10.62.177.42,27,14,Attack
31514,TCP,192.168.84.156,41.11.82.168,13,7,Normal
12431,UDP,10.120.22.218,10.15.212.181,8,5,Normal
21878,TCP,172.17.154.129,201.210.38.216,12,3,Normal
20986,TCP,172.25.88.220,241.151.106.249,6,14,Normal
14045,TCP,192.168.153.118,192.168.164.68,18,3,Normal
25523,TCP,172.27.93.139,159.184.171.1,30,21,Attack
35726,TCP,172.28.115.153,10.171.189.37,13,9,Normal
24039,TCP,10.167.102.114,192.168.144.143,15,4,Normal
44222,TCP,10.126.211.209,10.169.8.211,45,25,Attack
19099,UDP,192.168.49.143,172.19.165.62,14,17,Attack
6418,TCP,192.168.223.212,172.27.57.0,10,9,Normal
22188,UDP,172.24.239.212,183.85.239.133,12,6,Normal
37838,TCP,10.238.177.43,10.39.25.10,21,0,Normal
17556,TCP,172.17.166.6,192.168.72.197,11,5,Normal
27187,TCP,172.26.44.22,10.5.129.138,7,7,Normal
72428,TCP,10.237.165.107,192.168.28.224,54,25,Attack
34560,TCP,136.178.255.227,172.20.163.44,6,12,Normal
18714,TCP,192.168.143.76,242.44.202.226,6,16,Normal
11221,ICMP,192.168.117.172,192.168.253.241,1,1,Normal
29199,TCP,10.223.202.224,10.190.116.217,21,8,Normal
34601,TCP,10.228.155.93,192.168.212.177,14,9,Normal
24101,TCP,243.251.84.15,172.19.12.169,11,6,Normal
23283,TCP,192.168.135.175,172.18.226.190,14,15,Normal
11958,TCP,192.168.71.6,186.79.86.63,2,6,Normal
17384,TCP,172.26.72.28,172.16.101.137,9,6,Normal
24990,TCP,192.168.214.166,10.191.200.142,15,7,Normal
40188,TCP,244.86.190.76,172.30.76.64,12,15,Normal
17792,ICMP,10.131.212.249,172.19.129.28,1,2,Normal
23604,TCP,10.189.35.57,11.64.251.198,11,9,Normal
12861,UDP,172.20.152.204,172.26.75.88,5,5,Normal
14092,TCP,10.162.110.64,203.167.21.22,11,9,Normal
12222,TCP,32.166.157.54,172.31.234.142,15,5,Normal
37255,UDP,192.168.128.76,172.18.177.64,3,1,Normal
22961,TCP,240.5.174.251,79.191.45.200,12,13,Normal
15991,UDP,172.24.57.47,172.19.68.50,4,2,Normal
27834,TCP,192.168.130.144,192.69.129.110,21,15,Normal
